[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 28/241, 7/7
[ Info: 48_33: layer 2/3, base field no. 29/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 29/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 30/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 30/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 31/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 31/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 31/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 32/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 32/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 33/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 33/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 34/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 34/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 35/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 35/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 36/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 36/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 37/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 37/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 38/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 38/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 39/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 39/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 40/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 40/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 40/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 41/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 41/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 42/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 42/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 43/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 43/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 44/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 44/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 45/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 45/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 46/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 46/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 47/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 47/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 48/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 48/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 49/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 49/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 50/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 50/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 51/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 51/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 52/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 52/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 53/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 53/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 54/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 54/241, checking fields: 0
