[ Info: 80_43: File for first layer exists [2, 2, 4], 398107170553497250777006080; loading ...
[ Info: 80_43: layer 2/2, base field no. 23/48, checking fields: 5
[ Info: 80_43: layer 2/2, base field no. 23/48, 1/5
[ Info: 80_43: layer 2/2, base field no. 23/48, 2/5
[ Info: 80_43: layer 2/2, base field no. 23/48, 3/5
[ Info: 80_43: layer 2/2, base field no. 23/48, 4/5
[ Info: 80_43: layer 2/2, base field no. 23/48, 5/5
[ Info: 80_43: layer 2/2, base field no. 24/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 24/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 25/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 25/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 26/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 26/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 27/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 27/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 28/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 28/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 28/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 29/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 29/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 29/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 30/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 30/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 30/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 31/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 31/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 32/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 32/48, checking fields: 2
[ Info: 80_43: layer 2/2, base field no. 32/48, 1/2
[ Info: 80_43: layer 2/2, base field no. 32/48, 2/2
[ Info: 80_43: layer 2/2, base field no. 33/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 33/48, checking fields: 2
[ Info: 80_43: layer 2/2, base field no. 33/48, 1/2
[ Info: 80_43: layer 2/2, base field no. 33/48, 2/2
[ Info: 80_43: layer 2/2, base field no. 34/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 34/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 34/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 35/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 35/48, checking fields: 7
[ Info: 80_43: layer 2/2, base field no. 35/48, 1/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 2/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 3/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 4/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 5/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 6/7
[ Info: 80_43: layer 2/2, base field no. 35/48, 7/7
[ Info: 80_43: layer 2/2, base field no. 36/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 36/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 37/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 37/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 38/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 38/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 38/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 39/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 39/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 39/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 40/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 40/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 41/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 41/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 42/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 42/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 43/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 43/48, checking fields: 2
[ Info: 80_43: layer 2/2, base field no. 43/48, 1/2
[ Info: 80_43: layer 2/2, base field no. 43/48, 2/2
[ Info: 80_43: layer 2/2, base field no. 44/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 44/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 45/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 45/48, checking fields: 3
[ Info: 80_43: layer 2/2, base field no. 45/48, 1/3
[ Info: 80_43: layer 2/2, base field no. 45/48, 2/3
[ Info: 80_43: layer 2/2, base field no. 45/48, 3/3
[ Info: 80_43: layer 2/2, base field no. 46/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 46/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 47/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 47/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 48/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 48/48, checking fields: 0
9641.087560 seconds (12.33 G allocations: 3.484 TiB, 3.13% gc time, 0.15% compilation time: 2% of which was recompilation)
