[ Info: 48_40: layer 2/2, base field no. 45/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 45/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 46/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 46/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 47/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 47/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 48/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 48/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 49/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 49/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 50/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 50/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 51/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 51/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 52/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 52/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 53/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 53/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 54/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 54/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 55/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 55/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 56/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 56/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 57/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 57/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 58/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 58/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 59/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 59/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 60/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 60/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 61/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 61/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 62/88, constructing abelian extensions
