[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 46/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 46/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 47/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 47/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 48/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 48/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 49/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 49/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 50/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 50/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 51/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 51/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 52/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 52/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 53/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 53/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 54/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 54/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 55/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 55/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 56/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 56/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 57/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 57/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 58/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 58/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 59/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 59/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 60/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 60/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 61/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 61/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 62/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 62/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 63/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 63/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 64/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 64/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 65/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 65/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 66/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 66/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 67/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 67/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 68/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 68/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 69/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 69/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 70/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 70/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 71/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 71/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 72/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 72/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 73/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 73/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 74/264, constructing abelian extensions
