[ Info: File for first layer exists [2, 4], 10000000000000000; loading ...
[ Info: layer 2/2, base field no. 3/1213, 40/41
[ Info: layer 2/2, base field no. 3/1213, 41/41
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 4/1213, 1/43
[ Info: layer 2/2, base field no. 4/1213, 2/43
[ Info: layer 2/2, base field no. 4/1213, 3/43
[ Info: layer 2/2, base field no. 4/1213, 4/43
[ Info: layer 2/2, base field no. 4/1213, 5/43
[ Info: layer 2/2, base field no. 4/1213, 6/43
[ Info: layer 2/2, base field no. 4/1213, 7/43
[ Info: layer 2/2, base field no. 4/1213, 8/43
[ Info: layer 2/2, base field no. 4/1213, 9/43
[ Info: layer 2/2, base field no. 4/1213, 10/43
[ Info: layer 2/2, base field no. 4/1213, 11/43
[ Info: layer 2/2, base field no. 4/1213, 12/43
[ Info: layer 2/2, base field no. 4/1213, 13/43
[ Info: layer 2/2, base field no. 4/1213, 14/43
[ Info: layer 2/2, base field no. 4/1213, 15/43
[ Info: layer 2/2, base field no. 4/1213, 16/43
[ Info: layer 2/2, base field no. 4/1213, 17/43
[ Info: layer 2/2, base field no. 4/1213, 18/43
[ Info: layer 2/2, base field no. 4/1213, 19/43
[ Info: layer 2/2, base field no. 4/1213, 20/43
[ Info: layer 2/2, base field no. 4/1213, 21/43
[ Info: layer 2/2, base field no. 4/1213, 22/43
[ Info: layer 2/2, base field no. 4/1213, 23/43
[ Info: layer 2/2, base field no. 4/1213, 24/43
[ Info: layer 2/2, base field no. 4/1213, 25/43
[ Info: layer 2/2, base field no. 4/1213, 26/43
[ Info: layer 2/2, base field no. 4/1213, 27/43
[ Info: layer 2/2, base field no. 4/1213, 28/43
[ Info: layer 2/2, base field no. 4/1213, 29/43
[ Info: layer 2/2, base field no. 4/1213, 30/43
[ Info: layer 2/2, base field no. 4/1213, 31/43
[ Info: layer 2/2, base field no. 4/1213, 32/43
[ Info: layer 2/2, base field no. 4/1213, 33/43
[ Info: layer 2/2, base field no. 4/1213, 34/43
[ Info: layer 2/2, base field no. 4/1213, 35/43
[ Info: layer 2/2, base field no. 4/1213, 36/43
[ Info: layer 2/2, base field no. 4/1213, 37/43
[ Info: layer 2/2, base field no. 4/1213, 38/43
[ Info: layer 2/2, base field no. 4/1213, 39/43
[ Info: layer 2/2, base field no. 4/1213, 40/43
[ Info: layer 2/2, base field no. 4/1213, 41/43
[ Info: layer 2/2, base field no. 4/1213, 42/43
[ Info: layer 2/2, base field no. 4/1213, 43/43
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 5/1213, 1/47
[ Info: layer 2/2, base field no. 5/1213, 2/47
[ Info: layer 2/2, base field no. 5/1213, 3/47
[ Info: layer 2/2, base field no. 5/1213, 4/47
[ Info: layer 2/2, base field no. 5/1213, 5/47
[ Info: layer 2/2, base field no. 5/1213, 6/47
[ Info: layer 2/2, base field no. 5/1213, 7/47
[ Info: layer 2/2, base field no. 5/1213, 8/47
[ Info: layer 2/2, base field no. 5/1213, 9/47
[ Info: layer 2/2, base field no. 5/1213, 10/47
[ Info: layer 2/2, base field no. 5/1213, 11/47
[ Info: layer 2/2, base field no. 5/1213, 12/47
[ Info: layer 2/2, base field no. 5/1213, 13/47
[ Info: layer 2/2, base field no. 5/1213, 14/47
[ Info: layer 2/2, base field no. 5/1213, 15/47
[ Info: layer 2/2, base field no. 5/1213, 16/47
[ Info: layer 2/2, base field no. 5/1213, 17/47
[ Info: layer 2/2, base field no. 5/1213, 18/47
